model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
qwen2.5-coder-7b-instruct,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,374,3,0.03125,1,0.0035971223021582736,277,93
qwen2.5-coder-7b-instruct,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,373,5,0.05263157894736842,3,0.01079136690647482,275,90
qwen2.5-coder-7b-instruct,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,373,4,0.042105263157894736,5,0.017985611510791366,273,91
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1133,26,0.04553415061295972,159,0.28291814946619215,403,545
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1133,3,0.005253940455341506,1,0.0017793594306049821,561,568
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,1133,32,0.055944055944055944,195,0.34759358288770054,366,540
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,1133,7,0.012237762237762238,5,0.008912655971479501,556,565
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1135,3,0.005235602094240838,0,0.0,562,570
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1135,3,0.005235602094240838,4,0.0071174377224199285,558,570
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1133,10,0.017513134851138354,27,0.04804270462633452,535,561
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1133,4,0.0070052539404553416,4,0.0071174377224199285,558,567
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1127,15,0.02631578947368421,32,0.05745062836624776,525,555
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1127,12,0.021052631578947368,19,0.03411131059245961,538,558
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr:sc_cr,multi_call,cr,158,7,0.35,12,0.08695652173913043,126,13
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr:sc_cr,single_call,sc_cr,158,1,0.05,0,0.0,138,19
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr:sc_cpr,multi_call,cpr,153,6,0.3,16,0.12030075187969924,117,14
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,153,5,0.25,2,0.015037593984962405,131,15
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dr:sc_dr,multi_call,dr,158,0,0.0,0,0.0,138,20
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dr:sc_dr,single_call,sc_dr,158,0,0.0,0,0.0,138,20
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcr:sc_dcr,multi_call,dcr,156,1,0.05,3,0.022058823529411766,133,19
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,156,0,0.0,0,0.0,136,20
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,158,1,0.05,3,0.021739130434782608,135,19
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,158,1,0.05,2,0.014492753623188406,136,19
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr:sc_cr,multi_call,cr,371,10,0.11627906976744186,44,0.1543859649122807,241,76
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr:sc_cr,single_call,sc_cr,371,1,0.011627906976744186,2,0.007017543859649123,283,85
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr:sc_cpr,multi_call,cpr,368,9,0.10465116279069768,50,0.1773049645390071,232,77
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,368,5,0.05813953488372093,7,0.024822695035460994,275,81
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dr:sc_dr,multi_call,dr,375,0,0.0,0,0.0,287,88
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dr:sc_dr,single_call,sc_dr,375,1,0.011363636363636364,3,0.010452961672473868,284,87
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcr:sc_dcr,multi_call,dcr,365,3,0.03614457831325301,5,0.01773049645390071,277,80
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,365,0,0.0,4,0.014184397163120567,278,83
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,375,1,0.011363636363636364,6,0.020905923344947737,281,87
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,375,3,0.03409090909090909,6,0.020905923344947737,281,85
